ID,Name,State,Network,-2,-4,-8,-20,-40
329,Beaver Dams,UT,SNTL,40,40,40,40,40
330,Beaver Divide,UT,SNTL,35,40,38,35,40
332,Ben Lomond Peak,UT,SNTL,35,40,23,14,40
333,Ben Lomond Trail,UT,SNTL,30,40,29,33,40
339,Big Flat,UT,SNTL,35,40,30,35,40
348,Black Flat-U.M. Ck,UT,SNTL,30,40,30,30,40
364,Box Creek,UT,SNTL,40,40,40,40,40
366,Brighton,UT,SNTL,42,40,42,42,40
368,Brown Duck,UT,SNTL,40,40,40,40,40
371,Buck Flat,UT,SNTL,42,40,42,45,40
374,Bug Lake,UT,SNTL,40,40,40,40,40
383,Camp Jackson,UT,SNTL,37,40,37,37,40
390,Castle Valley,UT,SNTL,42,40,42,42,40
392,Chalk Creek #1,UT,SNTL,41,40,41,41,40
393,Chalk Creek #2,UT,SNTL,31,40,37,37,40
396,Chepeta,UT,SNTL,40,40,40,40,40
399,Clear Creek #1,UT,SNTL,31,40,31,31,40
400,Clear Creek #2,UT,SNTL,30,40,35,30,40
432,Currant Creek,UT,SNTL,35,40,28,30,40
435,Daniels-Strawberry,UT,SNTL,40,40,40,40,40
444,Dill's Camp,UT,SNTL,25,40,40,40,40
452,Donkey Reservoir,UT,SNTL,38,40,25,40,40
455,Dry Bread Pond,UT,SNTL,37,40,37,37,40
461,East Willow Creek,UT,SNTL,35,40,35,30,40
474,Farmington,UT,SNTL,41,40,41,41,40
475,Farnsworth Lake,UT,SNTL,40,40,40,40,40
481,Five Points Lake,UT,SNTL,41,40,41,37,40
495,Gooseberry RS,UT,SNTL,35,40,30,40,40
514,Harris Flat,UT,SNTL,41,40,41,41,40
517,Hayden Fork,UT,SNTL,40,40,40,37,40
521,Hewinta,UT,SNTL,40,40,40,40,40
522,Hickerson Park,UT,SNTL,40,40,40,37,40
528,Hole-in-Rock,UT,SNTL,40,40,38,38,40
533,Horse Ridge,UT,SNTL,34,40,30,30,40
543,Indian Canyon,UT,SNTL,39,40,32,37,40
557,Kimberly Mine,UT,SNTL,35,40,38,22,40
559,King's Cabin,UT,SNTL,32,40,32,30,40
561,Kolob,UT,SNTL,35,40,38,40,40
566,Lakefork #1,UT,SNTL,41,40,40,40,40
513,Lakefork Basin,UT,SNTL,40,40,38,37,40
572,Lasal Mountain,UT,SNTL,30,40,30,25,40
579,Lily Lake,UT,SNTL,30,40,30,30,40
582,Little Bear,UT,SNTL,40,40,40,40,40
583,Little Grassy,UT,SNTL,40,40,40,40,40
592,Long Flat,UT,SNTL,40,40,40,40,40
593,Long Valley Jct,UT,SNTL,30,40,28,38,40
596,Lookout Peak,UT,SNTL,30,40,28,22,40
612,Mammoth-Cottonwood,UT,SNTL,41,40,42,41,40
621,Merchant Valley,UT,SNTL,40,40,40,40,40
626,Midway Valley,UT,SNTL,38,40,32,40,40
628,Mill-D North,UT,SNTL,34,40,26,29,40
631,Mining Fork,UT,SNTL,31,40,36,36,40
634,Monte Cristo,UT,SNTL,40,40,40,40,40
643,Mosby Mtn.,UT,SNTL,40,40,40,40,40
684,Parley's Summit,UT,SNTL,38,40,40,41,40
686,Payson R.S.,UT,SNTL,39,40,39,42,40
691,Pickle Keg,UT,SNTL,35,40,38,42,40
694,Pine Creek,UT,SNTL,25,40,35,20,40
714,Red Pine Ridge,UT,SNTL,40,40,41,41,40
720,Rock Creek,UT,SNTL,28,40,25,20,40
723,Rocky Basin-Settleme,UT,SNTL,38,40,36,20,40
742,Seeley Creek,UT,SNTL,40,40,40,40,40
763,Smith & Morehouse,UT,SNTL,30,40,30,32,40
766,Snowbird,UT,SNTL,28,40,40,38,40
790,Steel Creek Park,UT,SNTL,41,40,37,37,40
795,Strawberry Divide,UT,SNTL,32,40,28,28,40
814,Thaynes Canyon,UT,SNTL,37,40,34,32,40
820,Timpanogos Divide,UT,SNTL,29,40,30,40,40
823,Tony Grove Lake,UT,SNTL,30,40,35,40,40
828,Trial Lake,UT,SNTL,40,40,40,40,40
833,Trout Creek,UT,SNTL,30,40,35,30,40
844,Vernon Creek,UT,SNTL,40,40,40,40,40
853,Webster Flat,UT,SNTL,40,40,40,40,40
864,White River #1,UT,SNTL,30,40,30,40,40
865,Widtsoe #3,UT,SNTL,40,40,35,30,40
896,Hardscrabble,UT,SNTL,39,40,33,37,40
906,Dry Fork,UT,SNTL,33,40,30,20,40
907,Agua Canyon,UT,SNTL,40,40,36,40,40
971,Parrish Creek,UT,SNTL,44,40,40,40,40
972,Louis Meadow,UT,SNTL,36,40,30,32,40
983,Clayton Springs,UT,SNTL,35,40,35,40,40
992,Bear River RS,UT,SNTL,27,40,27,27,40
1013,Temple Fork,UT,SNTL,32,40,28,40,40
1039,Cascade Mountain,UT,SNTL,30,40,40,40,40
1054,Farmington Lower,UT,SNTL,37,40,35,37,40
1056,Lightning Ridge,UT,SNTL,40,40,40,40,40
1065,Gutz Peak,UT,SNTL,40,40,40,40,40
1066,Gardner Peak,UT,SNTL,25,40,23,23,40
1097,Timberline,UT,SNTL,40,40,38,38,40
1098,Usu Doc Daniel,UT,SNTL,35,40,38,42,40
1099,Jones Corral,UT,SNTL,35,40,33,23,40
1113,Tony Grove RS,UT,SNTL,40,40,40,40,40
1114,Garden City Summit,UT,SNTL,37,40,41,41,40
1115,Klondike Narrows,UT,SNTL,34,40,34,34,40
1116,Lakefork #3,UT,SNTL,29,40,32,32,40
1117,Spirit Lk,UT,SNTL,41,40,38,35,40
1118,Lost Creek Resv,UT,SNTL,40,40,40,40,40
1135,Burts Miller Ranch,UT,SNTL,40,40,40,40,40
1145,Kilfoil Creek,UT,SNTL,40,40,40,40,40
1146,Oak Creek,UT,SNTL,40,40,40,40,40
1149,Fish Lake Utah,UT,SNTL,40,40,40,40,40
1151,George Creek,UT,SNTL,42,42,42,41,41
1153,Buckboard Flat,UT,SNTL,40,40,40,40,40
