BasinName,BasinSites,HUCS
UPPER YUKON BASIN,31O01;33K01;40M01;29N01;35O02;38N01;40N02;38M01;34O01;30M01;30N01;38P01;31M01;32L02;38O01;34K01;37M01;35O01;33L01;39P01;34L01;32L01;36N01;35L02;37N01;37N02;32N01;33P01;33O01;36M02;34L02;31N01;35L01;36L02;32O02,
ABOVE WHITEHORSE - TESLIN,33K01;32L02;34K01;33L01;34L01;32L01;35L02;34L02;35L01;36L02,
DAWSON,38P01;38O01;39P01,
STEWART - PELLY,31O01;29N01;35O02;34O01;30M01;30N01;31M01;35O01;37N02;32N01;33P01;33O01;31N01;32O02,
WHITE RIVER,40M01;39M01;38N01;40N02;38M01;37M01;36N01;37N01;36M02,101402
CENTRAL YUKON BASIN,1189;957;47Q07;41P03;42Q02;41P02;44Q05;43Q02;43P01;43P02;36R01;36R02;960;961;45R01;47Q10;43S03;49Q02;41P05;46R02;42O01;39S01;37Q01;49Q01;45Q04;41Q02;43Q01;50R02;43P03;1090;46R03;47Q08;47Q09,
PORCUPINE RIVER,36R01;36R02;39S01;37Q01,10050016
YUKON FLATS,961;42Q02;44Q05;43Q02;43P01;43P02;45R01;43S03;49Q02;46R02;49Q01;41Q02;43Q01;43P03;46R03,
FORTY MILE BASIN,1189;41P03;41P02;41P05;42O01,
WHITE MOUNTAINS,1090;47Q07;47Q10;45Q03;45Q04;47Q08;47Q09,101402
TANANA BASIN,48P01;47Q03;45P02;47Q04;1093;42N01;47Q01;46P04;48O04;1174;46Q06;45O01;45O05;46P02;44O02;47P05;963;45O04;41N01;1072;50O01;52O01;46Q05;947;43N02;43N01;949;948;46Q01;950;2081;41N02;46O08;45Q03;1178;48O03;48O02;45P01;50O03;951;2080;43O01;952;44Q01;47O12,
UPPER TANANA VALLEY (TOK),1093;40M01;42N01;41N01;43N02;43N01;41N02;2080;43O01,
UPPER TANANA VALLEY (DELTA JUNCTION),45P02;45O01;45O05;44O02;963;45O04;46O08;1178;45P01,
LOWER TANANA VALLEY,1174;1072;48P01;48O04;46P02;47P05;50O01;52O01;2081;48O03;48O02;50O03;47O12,
CHATANIKA,47Q03;47Q04;47Q01;46Q06,
CHENA VALLEY,47Q01;46P04;46Q05;947;949;948;46Q01;950;951;952;44Q01,
WESTERN INTERIOR BASINS,957;1182;51R01;50R03;55J01;57Q02;958;50S01;57Q03;55P01;49S01;54L02;962;57O01;56L01;59N01;57M01;58M01;57N02;54Q02;58O04;57M02;57Q01;51R02;52R02;52R04;58L01;52O01;52R01;53P01;59M03;54P01;55N01;58O01;58O02;56N01;51R03;53O02;58P02;55O01;52R03;58P01;54L01;52N01;57P01;49S03;51R04;53L01;50R02;55J02;52Q01;56Q01;59L01;56O01;53L02;57O02;59O03,
KOYUKUK,957;1182;50R03;57Q02;958;57Q03;49S01;962;54Q02;57Q01;51R02;52R02;52R04;52R01;51R03;52R03;49S03;51R04;50R02;56Q01,
KUSKOKWIM,2065;56L01;57M01;58M01;57M02;58L01;52O01;59M03;55N01;56N01;53O02;55O01;52N01;53L01;59L01;53L02,
LOWER YUKON,55P01;57O01;59N01;57N02;58O04;53P01;54P01;58O01;58O02;58P02;58P01;57P01;52Q01;56O01;57O02;59O03,
BRISTOL BAY,55J01;54L02;1233;54L01;55J02;53L02;1234,
ARCTIC AND KOTZEBUE SOUND,957;968;1175;1177;1183,190505
TALKEETNA MOUNTAINS,47N02;47M02;47N01,
ALASKA RANGE,45O01;43N01;46N03;45O11,
WRANGELL MOUNTAINS,43M01;44M01;44M03;1096;42M01;41M01;45N02,
CHUGACH RANGE,46M01;44M02;45M04;46M03;1055;45M02,
BASIN FLOOR,44N01;45N01;45M05;46N02;46M06;45N03;46N04;47N03,
