BasinName,BasinSites,HUCS
KOOTENAY in CANADA,16X14;2C14;15X03;2C15;2C01;2C16;14Y20;2C17;14Z10;14Z03;2C09Q;2C07;2C10P,1908010800
KOOTENAI MAINSTEM,311;323;932;15A10;15A09,170101
TOBACCO,500;787;14A07,
FISHER,510;15B11;15B16;15B15;14A13,17010102
YAAK,918;516,17010103
KOOTENAI MOUNTAIN,311;15B11;15B16;15B15;323;15A10;14A13;918;500;510;516;15A09;932;787;14A07,170101
KOOTENAI VALLEY,COOP2827;COOP5015;COOP5020,170101
KOOTENAI RIVER BASIN in MONTANA,311;15B11;15B16;15B15;323;15A10;14A13;918;500;510;516;15A09;932;787;14A07;COOP2827;COOP5015;COOP5020,170101
KOOTENAI ab BONNERS FERRY,16X14;2C14;15X03;2C15;2C01;2C16;14Y20;2C17;14Z10;14Z03;2C09Q;2C07;2C10P;311;15B11;15B16;15B15;15A10;14A13;918;500;510;516;15A09;932;787;14A07,170101
NF FLATHEAD in CANADA,14Z07;14Z01,1908010800
NF FLATHEAD in MONTANA,482;500;613;787;14A03;14A16;14A06;13A16;14A07,
MIDDLE FORK FLATHEAD,307;469;482;693;13A02;13A05,17010207
SOUTH FORK FLATHEAD,469;664;13B13;13B02;13B01;13B05,17010209
STILLWATER-WHITEFISH,1165;14A19;14A13;14A15;14A09;510;14A03;14A16;14A05;14A17,
SWAN,13B04;562;646;664;667;13B01;13B05,17010211
MISSION VALLEY,346;14B04;1144;13B04;646,12100406
LITTLE BITTERROOT-ASHLEY,1165;14A19;1190;14B03;14B04;1144;14A09;14A18,120702
JOCKO,667;14B06;783;901,
FLATHEAD MOUNTAIN,1165;14A19;307;1190;14B03;346;14B04;1144;14A13;14A15;13A02;469;13B04;482;500;14A09;510;14A03;14A16;13B13;14A06;562;14A05;613;13A05;13A16;646;664;667;693;14B06;783;13B02;787;14A17;13B01;14A18;13B05;14A07,
FLATHEAD VALLEY,COOP0755;COOP4558;COOP6640;COOP8902,
FLATHEAD in MONTANA,1165;14A19;307;1190;14B03;346;14B04;1144;14A13;14A15;13A02;469;13B04;482;500;14A09;510;14A03;14A16;13B13;14A06;562;14A05;613;13A05;13A16;646;664;667;693;14B06;783;13B02;787;14A17;13B01;14A18;13B05;14A07;COOP0755;COOP4558;COOP6640;COOP8902,
FLATHEAD RIVER BASIN,14Z07;1165;14A19;307;1190;14B03;346;14B04;1144;14A13;14A15;13A02;469;13B04;482;500;14A09;510;14A03;14A16;13B13;14A06;562;14A05;613;13A05;13A16;646;664;667;693;14B06;783;13B02;787;14A17;13B01;14A18;13B05;14Z01;14A07,
CLARK FORK ab FLINT CREEK,313;315;12C19;12D08;12C17;12C15;13C09;12C20;903;12C16;722;12C02;12C03;850;MPRCML15,1909020224
FLINT CREEK,349;410;13C42;930;13C07,1909020224
ROCK CREEK,13C16;930;760;13C02;13C07,10050015
CLARK FORK ab BLACKFOOT,13C16;313;315;12C19;349;12D08;410;12C17;13C42;12C15;MPRCML15;13C09;12C20;903;12C16;930;722;760;13C02;13C07;12C02;12C03;850,17010203
BLACKFOOT,413;414;13B10;12C15;MPRCML15;604;13C21;13C22;13C08;13C37;657;903;667;12C16;12C01;901,17010203
UPPER CLARK FORK MOUNTAIN,13C16;313;315;12C19;349;12D08;410;413;414;12C17;13B10;13C42;12C15;MPRCML15;13C09;604;13C21;13C22;13C08;13C37;12C20;657;903;667;12C16;12C16;930;722;760;13C02;12C01;13C07;901;12C02;12C03;850,17010201
UPPER CLARK FORK VALLEY ,COOP1318;COOP6472;COOP7448,17010201
UPPER CLARK FORK RIVER BASIN,13C16;313;315;12C19;349;12D08;410;413;414;12C17;13B10;13C42;12C15;MPRCML15;13C09;604;13C21;13C22;13C08;13C37;12C20;657;903;667;12C16;12C16;930;722;760;13C02;12C01;13C07;901;12C02;12C03;850;COOP1318;COOP6472;COOP7448,17010201
WEST FORK BITTERROOT,662;727,17010205
EAST SIDE BITTERROOT,13C16;433;13D02;727;760,17010205
WEST SIDE BITTERROOT,588;835;836,17010205
BITTERROOT MOUNTAIN,13C16;433;13D02;588;662;727;760;835;836,17010205
BITTERTOOT VALLEY,COOP2221;COOP3885;COOP7894,
BITTERROOT RIVER BASIN,13C16;433;13D02;588;662;727;760;835;836;COOP2221;COOP3885;COOP7894,17010205
LOWER CLARK FORK MOUNTAIN,15B11;15B16;15B15;1190;14B03;15B22;15B23;530;535;588;594;932;15B24;15B05;783;901,17010213
LOWER CLARK FORK VALLEY,COOP4084;COOP5745;COOP8043;COOP8211;COOP8380,17010213
LOWER CLARK FORK RIVER BASIN,15B11;15B16;15B15;1190;14B03;15B22;15B23;530;535;588;594;932;15B24;15B05;783;901;COOP4084;COOP5745;COOP8043;COOP8211;COOP8380,17010213
BEAVERHEAD,318;355;13E22;436;448;13D15;13D21;13E28;11E04;568;576;656;860,10020002
RUBY,916;403;448;603;753,10020003
BIGHOLE,313;315;355;12D08;381;436;13D15;12D10;12D07;13D21;13D02;638;13D25;656;727;13C07;13D24,
BOULDER,315;12C09;487;12C20;12D01;722;12C03,10020006
JEFFERSON MOUNTAIN,916;313;315;318;355;12D08;381;403;12C09;13E22;436;448;13D15;12D10;12D07;13D21;487;13D02;13E28;11E04;568;576;603;638;12C20;13D25;656;12D01;722;727;753;13D24;13C07;12C03;860,10020005
JEFFERSON VALLEY ,COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082,10020005
JEFFERSON RIVER BASIN,916;313;315;318;355;12D08;381;403;12C09;13E22;436;448;13D15;12D10;12D07;13D21;487;13D02;13E28;11E04;568;576;603;638;12C20;13D25;656;12D01;722;727;753;13D24;13C07;12C03;860;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082,10020005
MADISON abv HEBGEN LAKE,347;609;10E19;10E18;924;858,10020007
MADISON blw HEBGEN LAKE,916;328;385;403;11D12;11E05;COOP4038;590;603;11E21;813,10020007
MADISON MOUNTAIN,916;328;347;385;403;11D12;11E05;COOP4038;590;603;609;10E19;10E18;11E21;813;924;858,10020007
MADISON VALLEY ,COOP2793;COOP4038;COOP6157;COOP6845,10020007
MADISON RIVER BASIN,916;328;347;385;403;11D12;11E05;COOP4038;590;603;609;10E19;10E18;11E21;813;924;858;COOP2793;COOP4038;COOP6157;COOP6845,10020007
