BasinName,BasinSites,HUCS
CANADIAN RIVER BASIN,05N12;05N21;05N03;665;05N13;1170;715;05N23;1169;05N02;934;854,
PECOS RIVER BASIN,05N12;921;05P05;922;854,13070008
RIO GRANDE BASIN,05N12;316;394;431;921;491;05N03;532;665;05N13;1170;708;05P05;06N15;922;744;05N02;05N14;1168;05N04;1017,
MIMBRES RIVER BASIN,07T02;07S02;1048;755,130302
SAN FRANCISCO-UPPER GILA RIVER BASIN,09S07;486;08S09;595;09S04;755;757;09S08;08S10,
ZUNI-BLUEWATER BASINS,08P06;08P05;08P07;08P02;08P01;933,
SAN JUAN RIVER BASIN,386;431;08M04;07M23;580;629;632;713;780;797;840;843;874,1408
CHUSKA MOUNTAINS,09N05;1143;08N04;08N05;08N06;09N02;09N04;08N03;1138,
RIO HONDO BASIN,1034,12110107
NEW MEXICO STATEWIDE,05N12;05N21;316;08P06;08N04;394;08P05;921;07T02;486;491;05N03;08N05;532;08S09;595;08P07;1048;07S03;07S02;08N06;1138;665;08P02;1170;05N13;05P02;08P01;708;715;933;08P03;05P05;1254;1172;06N15;922;744;1169;05N23;1034;755;757;09S08;05N02;1168;05N14;934;05N19;1083;05N04;1017;854;08N03;08S10,
