BasinName,BasinSites,HUCS
OWYHEE AND MALHEUR BASINS,336;357;476;548;563;573;654;2029;721;774;811;17E04;18E20;18G04A;18G05;COOP7310;COOP6405,
East Little Owyhee,16G10;16G11;373;498;17G06;17H06;17G04,120702
South Fork Owyhee,16H06;16H01;811;476;548;573;17G06,17050105
Upper Malheur,357;563;721;18F06;18E21;18F07;18E20;18E26,17050116
Upper Owyhee,654;476;573;336;548,17050104
"GRANDE RONDE, POWDER, BURNT AND IMNAHA BASINS",302;331;361;362;422;464;494;523;1079;647;653;736;984;812;821;824;873;17D16;18E23;17D14;17E04;18E20;COOP3604;COOP4622;COOP0412,17060102
Burnt,494;821;18E35;17E04;18E20,17050202
Imnaha,302;653;736;17D14;17D19;17D13,17060102
Lower Grande Ronde,985;984;824;1079;17D11;17D16,17060106
Powder,18E31;331;361;17E04;17D19;464;494;18E23;17D13;736;812;17D17;873,100902
Upper Grande Ronde,18E31;17D10;331;362;422;523;647;812;17D17;873,17060104
Wallowa,302;647;653;812;17D10;17D13;17D11;17D16;17D17,17060105
"UMATILLA, WALLA WALLA AND WILLOW BASINS",304;362;470;523;605;608;1079;824;COOP3827;COOP8928;COOP6550;COOP5593,10030204
Umatilla,304;362;470;523;605,17070103
Walla Walla,523;984;824;1079,17070102
JOHN DAY BASIN,304;357;361;422;440;494;563;605;608;671;767;789;821;18E23;20E01;COOP5734;COOP4291;COOP5638;COOP1765,170702
Lower John Day,440;608;671;19E03;20E01;20E02,170702
North Fork John Day,304;361;422;494;605;608;821;18E31,170702
Upper John Day,357;440;563;767;789;19E03,170702
UPPER DESCHUTES AND CROOKED BASINS,388;395;440;545;619;660;671;719;729;733;767;801;815;21F03;21E26;20E01;21F04;COOP0694;COOP7062;COOP9316,170703
Little Deschutes,388;395;660;801,170703
Upper Crooked,440;671;19E03;20E01;20E02,17070304
Upper Deschutes,388;545;619;660;719;729;733;801;815;21E22;21F04;21E26;21E23;21F03,170703
"HOOD, SANDY AND LOWER DESCHUTES BASINS",351;398;401;504;651;655;666;712;925;21D38;21D39;COOP5734;COOP5142;COOP3770,170703
Lower Columbia - Sandy,351;401;651;655;666;712;925,1708
Lower Deschutes,398;401;651;655;21E22;21D36;21D37;21D38;21E23,170703
Middle Columbia - Hood,351;504;651;666;712;804;21D38;21D39,1707
WILLAMETTE BASIN,388;398;401;434;545;529;552;584;614;619;1084;655;687;710;719;726;729;733;743;801;23E04;COOP1902;COOP1862;COOP2709;COOP4811;COOP2292;COOP6213;COOP7500;COOP7586;COOP2693;COOP8466;COOP5362,1709
Clackamas,398;401;655;687;21D36;21D37,17090011
McKenzie,434;545;552;619;719;733,17090004
Middle Fork Willamette,388;529;545;710;719;729;801,1709
North Santiam,434;584;614;733,17090005
South Santiam,434;552;584;614,17090006
ROGUE AND UMPQUA BASINS,1000;341;343;344;406;442;479;483;1158;558;745;801;1044;22G05;22G31;22G28;22G43;22F23;22G26;22F24;22G02;22F25;COOP0304;COOP3445;COOP7331;COOP4060;COOP5429;COOP6907;COOP7698;COOP7169;COOP1448;COOP3509,17100303
Applegate,341;343;22G34;22G31;22G32,17100309
Middle Rogue,558;22G34;23G08;23G10;23G11;22G31;22G43;22G32,17100308
North Umpqua,442;801;1044;22F16;22F23;22F24;22F25;22F26;22F17,17100303
South Umpqua,558;1044;23G08;23G10;23G11;22F23;22F24;22F25;22F26;22G02,17100303
Upper Rogue,1000;344;406;479;483;745;22G28;22G27;22G26;22G05;22G02,17100307
KLAMATH BASIN,1000;344;395;406;1010;977;442;479;483;945;745;756;794;800;1078;1077;810;22G05;22G28;22G26;COOP1574,180102
Lost,977;945;794;1077;20H01;21G06,18010204
Sprague,1010;756;800;1077;810;20G18;20G11;20G14;21G09,18010202
Upper Klamath Lake,1000;344;406;479;483;745;1078;22G28;22G05,180102
Williamson River,1000;395;442;1078;810;22G05,18010201
LAKE COUNTY AND GOOSE LAKE BASINS,391;1010;977;446;756;794;800;20G24;20G17;20G10;20G19;19G01;COOP3692;COOP7817;COOP8173;750,17040211
Goose Lake,446;794;20G15;20G24;20G11;20G17;20G19;20H01,17040211
Lake Abert,800;20G15;20G24;20G18;20G11;20G14;20G10,17120006
Summer Lake,756;800;21G09,17120005
Upper Pit,301;391;977,18020002
HARNEY BASIN,357;477;563;721;759;767;789;750;18G04A;18G07;18G05;19G01;COOP1175;COOP3692,
Alvord Lake,477;18F06;18G04A;18G11;18G09;18G05;18G07,17120009
Donner und Blitzen River,477;759;18F06;18F10;18G07,17120003
Silvies River,563;721;767;789,17120002
Upper Quinn,373;498;569;18G04A;18G11;18G05,16040201
