BasinName,BasinSites,HUCS
Spokane,18A23;18A10;17B06;17B02;16B13;16B12;16B11;16B05;16B03;15B07;15B05;1081;803;752;707;645;623;600;594;535,170103
Newman Lake,707;17B02;17B07;17B05,
Pend Oreille Basins,13C16;307;17A07;313;315;12C19;349;17A02;14A13;12D08;376;12C05;17A08;14A15;410;413;12C09;12C17;13B10;433;13A02;13C42;12C15;13C09;13A24;469;13B04;12D10;482;12D07;487;13D02;500;14A09;510;14A03;13B13;530;535;14A06;14D03;562;14A05;588;594;604;13C21;13C22;13C08;13C37;13A05;13A16;638;2C09Q;645;12C20;662;657;664;13B07;12C16;930;693;12D01;722;727;735;760;17A09;13C02;17A10;13B02;787;12C01;13C07;13C01;803;12C02;12C03;13B01;835;836;13B05;850;14A07,170102
Colville River,17A07;17A08;17A05,190603
Kettle River,2B06;2E03;18A16;2E02;2B02A;18A04;1159;2F04;2E01;1043;18A15;18A24;18A25,17020002
Upper Columbia Basins,515;644;711;728;18A12;18A14;18A18;18A19;19A01;19A03;19A06;19A13;19A15;19A16;19A17;19A18;19A19;19A20;19A22;19A23;1C01;1F04;20A01;20A05;20A09;20A42;20A43;20A44;20A45;2E01;2F05P;2F13;2F14;2F18;2F19;2F20;2G03P;2G04;2G05;2G06,1702
Okanogan River,1F01A;2F18;1F04;2F13;2F14;20A01;515;2F05P;2E01;19A01;2F19;19A03;728;2F20;2F07;2F08;2F09;2F10;2F11;2F12,17020006
Omak Creek,19A20;19A19;19A13;644;19A15,1702000619
Sanpoil River,18A19;1256;18A14;18A18;18A12,17020004
Similkameen River,2G03P;1C01;2G06;2G04;2G05,17020007
Toats Coulee Creek,19A18;19A16;19A17;19A06,1702000718
Conconully Lake,19A01;1259;19A03;728,
Methow River,20A42;515;20A05;20A44;19A23;20A45;711;20A09;728;19A22;20A43,17020008
Central Columbia Basins,20A22;20A24;606;681;20A09;711,
Chelan Lake Basin,20A22;20A24;606;681;20A09;711,
Entiat River,699,1702001002
Wenatchee River,352;478;21B04;606;791;832;841,17020011
Stemilt Creek,20B29;841,
Colockum Creek,832,
Upper Yakima River,352;478;21B04;21B61;507;21B14;672;734;788;21B08,1703
Lower Yakima River,21C36;375;21C06;1085;418;502;599;642;863,1703
Ahtanum Creek,502;599,1703000301
Walla Walla River,523;824,17070102
"Lower Snake, Grande Ronde, Clearwater Basins",302;17D14;466;520;17D13;647;653;15C05;736;747;752;985;984;17D11;812;17D16;17D17,170603
Lower Columbia Basins,1129;553;591;776;804;1085;21C06;679;692;702;748;777;1012;863,1708
Lewis River,553;591;776;804;1012,17080002
Cowlitz River,1085;21C06;679;692;1263;702;748;1257;777;863,
South Puget Sound Basins,1085;21C06;418;928;642;420;21B27;21B50;1068;788;942;418;928;642;941;21B44,1711
White River,1085;21C06;418;928;642,101402
Puyallup River,942;418;928;642;941,17110014
Green River,420;21B27;21B50;1068;788,1304020105
Central Puget Sound Basins,672;788;791;897;898;899;908;911;912;928;941;942;21B03;21B21;21B48,1711
Cedar River ,21B03;897;21B21;898;911;899,12030107
Tolt River,908;21B48;912,1711001005
Snoqualimie River,21B48;908;672;912;788,
Skykomish River,21B48;908;791,17110009
North Puget Sound Basins,515;711;817;909;910;975;990;999;1011;20A01;20A04;20A05;20A07;20A08;20A09;21A01;21A04;21A06;21A07;21A08;21A09;21A10;21A11;21A12;21A18;21A28;21A30;3D02;3D03A,1711
Skagit River,21A04;21A01;990;21A28;20A04;20A01;515;20A05;3D03A;3D02;20A08;21A30;711;20A09;975;817;20A07,
Baker River,21A11;998;21A07;21A06;21A09;999;21A18;21A12;21A10;21A08,1711000510
Nooksack River,910;1011;909,17110004
Olympic Penninsula,1107;23B03;23B14;23B04;943;648;974,
