BasinName,BasinSites,HUCS
SNAKE above Jackson Lake,10E08;10E13;499;10E14;577;10F04;764;816;837,10160008
PACIFIC CREEK,314;10F04;837,1704010103
BUFFALO FORK,11D12;822;10F05;878,11010005
GROS VENTRE RIVER,10F28;506;944;822,17040102
HOBACK RIVER,353;460;497;10F30;10F20,
GREYS RIVER,353;419;779;831;868,
SALT RIVER,10G07;419;10G03;730;868,1506
SNAKE RIVER BASIN,COOP0027;COOP0140;10E08;314;COOP0603;347;353;COOP0865;10G07;419;COOP2375;460;10F28;11D12;10E13;1082;497;499;506;10G03;944;10F30;10E14;COOP4910;577;597;COOP6428;10F04;COOP6440;689;730;COOP8315;764;10F20;779;816;822;10F05;837;868;878,10160008
MADISON-GALLATIN RIVER BASINS,347;384;609;10E19;10E18;COOP6845;11E06;924;858,1303020126
YELLOWSTONE RIVER in WY,384;10D05;480;10E04;10E01;670;683;806;816;837;878,1303020126
CLARKS FORK in WY,326;981;407;472;480;683;862;875,
YELLOWSTONE RIVER BASIN,326;981;384;COOP1775;407;10D05;472;480;10E04;COOP5345;10E01;670;683;806;816;COOP9025;837;862;875;COOP9905;878,
WIND above Dubois,379;09F06;09F07;585;09F15;09F03;822,
LITTLE WIND,525;786,120702
POPO AGIE,08G02;923;08G04;525;08G06;775;826,10080003
WIND RIVER BASIN,08G02;379;1130;09F20;405;923;09F06;09F07;08G04;944;525;585;08G06;09F15;775;786;09F03;822;826;COOP1000;COOP1284,
NOWOOD RIVER,325;501;07E24;625;07E27;703;07E35,10080008
GREYBULL RIVER,560;616;819,10080009
SHELL CREEK,309;358;07E04;751,1404010903
BIGHORN RIVER BASIN,309;COOP0540;325;COOP0778;358;COOP1000;COOP3031;501;COOP4080;560;616;07E24;625;07E27;676;703;07E04;COOP8124;751;COOP8758;COOP8852;COOP8875;819;07E35;COOP9785,
SHOSHONE RIVER BASIN,350;COOP1175;COOP1840;COOP2415;472;COOP5770;616;COOP7388;806;807;878,10080014
UPPER POWDER RIVER,325;501;625;07E27;703,100902
CLEAR CREEK,402;512;1132;07E05;06E01,10090206
CRAZY WOMAN CREEK,07E27;703;06E01,10090205
POWDER RIVER BASIN,325;COOP0740;COOP1816;402;501;512;COOP5055;625;COOP6195;07E27;703;1132;07E05;06E01;COOP1165,100902
GOOSE CREEK,931;451;1131;07E38,17040211
TONGUE RIVER BASIN,931;COOP0680;358;377;COOP1220;COOP2399;451;COOP5506;1131;07E15;07E38;COOP8160;COOP8155;COOP8626;798;818;07E13,100901
BELLE FOURCHE RIVER BASIN,04E02;982;COOP2466;COOP2580;COOP3855;COOP4760;04E05;04E04;04E03;COOP8705;03E01,101202
CHEYENNE RIVER BASIN,354;03F04;04F01;04E05;04E04;COOP6660;920;03E01;COOP9205,1012
N PLATTE above Northgate,1030;05J01;408;551;1031;06J02;1032;718;825;869;1033,1020
ENCAMPMENT RIVER,1119;673;06H18;852;859,
BRUSH CREEK,1196;06H16;06H05;668;06H06;772,1109020404
MEDICINE BOW & ROCK CREEKS,06H17;1196;06H16;731,10050015
UPPER NORTH PLATTE RIVER BASIN,1030;1119;05J01;408;06H17;449;COOP2995;551;1196;COOP6120;06H16;1031;06H05;668;673;06J02;06H18;1032;COOP7533;718;06H06;1015;731;COOP7995;COOP8070;772;825;852;859;869;1033,1020
SWEETWATER RIVER BASIN,923;08G04;COOP4925;1134;09G06;COOP7105;775,10180006
DEER & LaPRELE CREEKS,571;716,
LOWER NORTH PLATTE RIVER BASIN,COOP0552;389;COOP1570;571;COOP6852;COOP7105;716;872,1020
LARAMIE RIVER abv Laramie,05J02;1045;438;06H12;05H01;1032;718,1303020126
LITTLE LARAMIE RIVER,06H11;367;1046;06H02;06H03,120702
LARAMIE RIVER BASIN,06H11;367;05J02;COOP1730;1046;1045;438;06H12;06H02;COOP5415;06H03;COOP6852;05H01;1032;718;COOP8808;COOP9615;872,
