BasinName,BasinSites,HUCS
GUNNISON RIVER BASIN,380;1059;06L06;409;07L01;538;07M06;07L04;07M08;618;08K04;622;06L09;675;06L02;680;682;701;06L03;713;1128;737;762;1141;1188,1402
UPPER GUNNISON BASIN,380;1059;06L06;07L01;07L04;07M08;618;08K04;622;06L09;675;06L02;680;682;701;06L03;1128;737;762;1141;1188,1402
SURFACE CREEK BASIN,08K04;622;682,
UNCOMPAHGRE BASIN,409;538;07M06;713,14020006
UPPER COLORADO RIVER BASIN,1030;1041;05K03;335;345;06K21;913;1101;408;06K47;415;06J17;1120;06K48;1186;485;06J11;05J16;505;06K42;1187;531;542;06K04;547;970;05K21;556;565;05J10;05K07;06K49;607;618;06K28;1040;622;08K04;1014;06K12;05J24;658;06K06;05J09;669;688;05K18;737;06K09;05K16;793;802;842;05K19;869;06J05;06K51;06K52,1208
BLUE RIVER BASIN,06K21;415;1120;485;505;531;06K09;05K16;802,14010002
HEADWATERS COLORADO RIVER,1030;1041;05K03;335;06K21;913;408;06K47;415;06J17;1120;06K48;1186;485;06J11;05J16;505;1187;531;970;05K21;565;05J10;05K07;607;06K28;1040;1014;06K12;05J24;05J09;688;05K18;06K09;05K16;793;802;842;05K19;06J05;869;06K51;06K52,
MUDDY CREEK BASIN,1030;913;408;06J17;06J11,14040108
EAGLE RIVER BASIN,1041;06K47;06K48;485;06K28;1040;842;06K51;06K52,14010003
PLATEAU CREEK BASIN,622;08K04;682,1403000204
ROARING FORK BASIN,1101;06K42;542;06K04;547;556;06K49;618;658;06K06;669;737,14010004
WILLIAMS FORK BASIN,335;1186;970;05K21;1014;06K12,1405000110
WILLOW CREEK BASIN,06J17;05J16;793;869;06J05,10030204
SOUTH PLATTE RIVER BASIN,05L05;05L06;05K23;322;05J33;05K13;335;1161;05J03;05J25;938;05J01;05J02;05K25;412;05J18;438;05J06;05J17;936;05L07;05K29;05K11;05J13;531;06K35;1122;05J11;935;551;564;565;05J10;05J44;1123;05J27;05J22;602;937;06K34;663;05J20;1251;939;05K22;06L12;838;05J08;06K26;1042;05J05;870,1020
BIG THOMPSON BASIN,322;05J17;05J13;565;05J10;05J22;870,10260007
BOULDER CREEK BASIN,05K23;05J25;564;663;838;05J08,10020006
CACHE LA POUDRE BASIN,05J33;1161;05J03;05J01;05J02;438;05J06;1122;05J11;551;05J27;05J20,10190007
CLEAR CREEK BASIN,05K13;335;05K29;602,10090206
SAINT VRAIN BASIN,412;05J18;05J44;1251;1042;05J05,
UPPER SOUTH PLATTE BASIN,05L05;05L06;938;05K25;936;05L07;05K11;531;06K35;935;937;06K34;939;05K22;06L12;06K26,1020
YAMPA-WHITE-NORTH PLATTE RIVER BASINS,1030;317;1061;345;378;06J37;05J01;05J02;408;06J03;426;438;05J06;449;457;467;07H01;1047;940;607;05J15;1031;673;06J02;709;1032;07J01;717;718;732;825;827;859;869;06J05;06J10;1033,1020
LARAMIE RIVER BASIN,05J02;438;05J06;05J15;718,
NORTH PLATTE RIVER BASIN,1030;05J01;408;06J03;1031;06J02;1032;825;859;869;06J05;1033,1020
LARAMIE & NORTH PLATTE RIVER BASINS,1030;05J01;05J02;408;06J03;438;05J06;05J15;1031;06J02;1032;718;825;859;869;06J05;1033,1020
ELK RIVER BASIN,467;940,11070208
YAMPA RIVER BASIN,1061;408;06J03;426;457;467;940;709;717;825;06J10,
WHITE RIVER BASIN,345;378;07J01;717;827,101402
YAMPA & WHITE RIVER BASINS,1061;345;378;408;06J03;426;457;467;940;709;07J01;717;825;827;06J10,101402
LITTLE SNAKE RIVER BASIN,317;06J37;449;467;07H01;1047;673;732;859,120702
ARKANSAS RIVER BASIN,303;369;05M12;06K48;485;1057;1102;05M01;914;06L09;701;06L03;1100;06L05;773;06K25;06L12;06K03;857;06K50,
UPPER ARKANSAS BASIN,369;06K48;485;06L09;701;06L03;1100;06L05;06K25;06L12;06K03;06K50,1102
CUCHARAS & HUERFANO BASINS,303;05M12;05M01;914;773,11020006
PURGATOIRE RIVER BASIN,303;857,11020010
UPPER RIO GRANDE BASIN,327;06M25;05M04;1059;06L06;430;06M07;431;1058;06M21;1102;05M01;580;07M10;914;624;1124;06M24;06M09;06M14;07M20;07M17;1128;06M04;829;839;1005;05M17;874,130201
ALAMOSA CREEK BASIN,580;06M09;06M04,
CONEJOS & RIO SAN ANTONIO BASINS,06M07;431;580;06M24;06M09,121003
CULEBRA & TRINCHERA BASINS,05M04;430;05M01;829;1005;05M17,
HEADWATERS RIO GRANDE RIVER BASIN,327;06M25;1059;06L06;1058;06M21;07M10;624;1124;06M14;07M20;07M17;1128;839;874,1301000101
SAN MIGUEL-DOLORES-ANIMAS-SAN JUAN RIVER BASINS,327;1185;386;387;409;904;465;08M03;08M04;07M23;586;589;905;629;632;08M09;713;739;1060;780;797;07M02;07M28;840;06M03;843;1160;874,1303020126
ANIMAS RIVER BASIN,327;386;387;904;08M04;07M23;629;632;713;780;797,14080104
DOLORES RIVER BASIN,1185;465;08M03;586;905;08M09;739;1060,
SAN MIGUEL RIVER BASIN,409;586;589;08M09;07M02;07M28,14030003
SAN JUAN RIVER BASIN,840;06M03;843;1160;874,1408
STATE OF COLORADO,05L05;05L06;303;1030;05K23;322;1061;327;1041;05J33;05K13;05K03;335;06M25;05J03;345;1185;1161;06K21;05J25;05M04;369;938;913;378;380;06J37;05J01;386;387;05J02;1101;1059;06L06;408;06K47;06J03;409;904;05K25;412;05J18;415;06J17;07L01;426;05M12;430;06M07;431;438;05J06;05J17;457;936;465;05L07;467;1120;05K29;06K48;1186;485;05K11;1057;06J11;05J16;1058;06M21;505;08M03;06K42;1102;05J13;1187;531;06K35;1122;05J11;538;542;06K04;07M06;547;935;551;970;05K21;07L04;556;08M04;05M01;07M08;564;565;05J10;05K07;05J44;07M23;580;586;589;05J27;1123;05J22;940;06K49;07M10;602;607;905;618;05J15;06K28;1040;914;622;08K04;937;624;1014;06K12;05J24;629;632;06L09;1124;06K34;658;06K06;1031;663;05J09;669;08M09;675;680;06L02;682;06J02;688;06M24;06M09;06M14;07M20;701;06L03;709;05K18;1032;05J20;713;07J01;717;718;939;1100;06L05;07M17;1128;1251;737;739;1060;06K09;06M04;762;05K16;773;780;793;797;802;05K22;07M02;06K25;825;827;829;06L12;07M28;06K03;838;05J08;839;840;06M03;1141;1005;05M17;842;843;05K19;1188;1160;06K26;857;1042;05J05;869;06J05;870;06K50;874;06K51;06K52;06J10;1033,
