BasinName,BasinSites,HUCS
PANHANDLE REGION,,
Moyie River                          ,2D06;2D07A;2D08P;2D02;2D05;2D10;516;2C11;2D09;2C10P;2D04;2D03,17010105
Kootenai ab Bonners Ferry  ,311;15B11;15B16;15B15;323;15A10;14A13;2C07;2A03A;2C14;918;2A02;500;2D05;2D10;510;516;988;2A07;2C12;2C11;15A09;2C09Q;2C15;2C16;2C10P;1053;2C01;787;2C04;2C17;14A07,170101
Priest River,16A02;16A03;376;16A11;738,17010215
Rathdrum Creek,707;1081;17B06;17B02;16B12,
Coeur d' Alene River                  ,15B07;16B03;535;16B05;594;16B13;645;15B05;16B11;803,
St. Joe River,15B07;530;600;623;15B05;752,17010304
Spokane River,15B07;16B03;530;535;16B05;594;600;16B13;623;645;707;1081;17B06;17B02;15B05;752;16B11;803;16B12,170103
Palouse River,989;752,17060108
CLEARWATER RIVER BASIN,,170603
NF Clearwater River ,411;425;466;520;530;588;600;1142;15C05;747,170603
Lochsa River,14C11;15C02;588;735,17060303
Selway River,15C02;650;662;835;836,
Clearwater Basin Total,411;425;14C11;466;15C02;520;530;588;600;989;650;662;1142;15C05;735;747;752;835;836;16C21,170603
SALMON RIVER,,170602
Salmon River ab Salmon,312;14E08;14D06;490;627;636;639;13E26;14D05;845,170602
Lemhi River,13E19;318;355;13E17;436;13E28;576;620;636;915,17060204
MF Salmon River,312;439;639,170602
SF Salmon River,338;439;740,170602
Little Salmon River,319;370;782;855,170602
Salmon Basin Total,13E19;312;318;319;338;355;370;14E08;13E17;14D06;436;439;489;490;13D02;13E28;576;620;627;636;638;639;13E26;650;14D05;727;915;740;782;845;855,170602
WEST CENTRAL BASINS,,
SF Boise River,306;382;15F15;14F18;450;15F12;704;830;845,
MF & NF Boise Rivers,306;496;550;637;15F01;830,
Mores Creek,15F02;16F01;637;15F01,
Canyon Creek,382;15F12;15F19;15F20,1902010307
Boise Basin Total,306;15F02;978;16F02;16F04;382;15F15;14F18;16F01;450;496;550;15F12;637;15F01;704;830;845,
NF Payette River,319;338;370;15E01;1016;740;782;15D02;16E03,17050122
SF Payette River,312;423;16F01;439;550,17050122
Payette Basin Total,312;319;338;978;16F02;370;423;16F01;439;550;15E01;1016;740;782;15D02;16E03,17050122
Mann Creek,324;17E06,1705012410
Weiser Basin Total,324;16E15;16E17;16E02;16E16;782;17E06;979;855,17050124
WOOD AND LOST BASINS,,18010204
Camas-Beaver Creeks,12E03;424;11E12;568,
Birch-Medicine Lodge Creeks,318;13E29;12E04;620;13E30;12E05,10050007
Little Lost River,13E19;524;620;636,120702
Big Lost River ab Mackay,320;13F02;13F20;13F08;601;926;792,10260007
Big Lost Basin Total,320;13F02;13F20;13F08;524;601;926;792,10260007
Fish Creek,13F20;13F10;13F06,1902040105
Little Wood River,13F08;492;537;13F05;805,120702
Big Wood River ab Hailey,895;450;489;490;537;14F21;601;14F09;845,19030304
Camas Creek,382;15F15;14F18;15F12;14F20;769,17040220
Big Wood Basin Total,382;15F15;895;14F18;450;489;490;537;14F21;15F12;601;14F09;14F20;769;845,10260007
UPPER SNAKE RIVER BASIN,,1704
Henrys Fork-Falls River,11E09;347;499;10E15;546;11E16;577;10E09;11E14;11E08;860,
Teton River,10F21;10F26;1082;11F12;11F18;689;695;11F01;10F24,10030205
Henrys Fork ab Rexburg,11E09;347;10F21;1082;499;10E15;546;10F26;11E16;577;10E09;11E14;11F12;11F18;689;695;11F01;10F24;11E08;860,
Snake River ab Jackson Lake,10E08;10E13;499;10E15;10E14;577;10E09;10F04;764;10E12;816;10E07;837,10160008
Pacific Creek,314;10F02;10F04;837,1704010103
Buffalo Fork,10F06;822;10F09;10F05,11010005
Gros Ventre River,10F28;506;944;822;10F09,17040102
Hoback River,353;460;497;506;10F30;597,
Greys River,353;419;779;868,1704010304
