BasinName,BasinSites,HUCS
Lake Tahoe Basin,518;20L04;20L01;615;508;724;463;20L05;19L02;20K17;19K06;809;848;20L03;19L01;473,16050101
Truckee River Basin,19K02;652;541;340;784;20K01;20K19;20K28;539;20K02;20K10;428;1242;19K03;834;540,16050102;16050103
Little Truckee River,541;20K01;539;20K02;540,1605010201
Sagehen & Independence Creeks,541;539;540,160501020102;160501020104
Galena Creek,19K02;652,1.61E+11
Steamboat Creek,19K02;652;1242;19K03,160501020304;160501020303;160501020301;160501020302
Truckee River above Pyramid Lake,19K02;652;518;541;340;20L04;784;20K01;615;508;20K19;724;463;20L05;20K28;19L02;20K17;539;20K02;19K06;20K10;428;809;848;20L03;1242;19K03;834;540;19L01;473,16050102;16050103;16050101
Carson River Basin,462;1050;19L04;1067;633;1051;356;1049;697;19K05;778,160502
East Fork Carson River,462;633;1051;356;697;778,1605020101;1605020102;1605020104
West Fork Carson River,1050;19L04;1067;1051;356;1049;508;19K05,1605020103
Walker River Basin,574;846;1052;587;771;19L07;19L34;633;19L09;575,160503
East Walker River above Bridgeport,846;587;19L34;19L09,1605030101
West Walker River above Coleville,574;1052;587;771;19L07;575,1605030202;1605030201
Northern Great Basin,498;18G05;1194;18G04A;446;18G11;391;18G09;373;20G23;20H14;19H01;19H04;17G04;445;17H06;569;750;1277,160402;18080001;16050104
Surprise Valley - Warner Mtns,446;391;20H14,18080001
McDermitt Creek,18G05;18G11;445,1604020102
Quinn River,498;18G05;1194;18G11;373;17G04;445;17H06;569,16040201;16040202
Upper Humboldt River Basin,15J16;15J08;417;549;15H11;15J23;453;321;503;15J17;1203;15H19;570;15J19;1211;14H04;15J04;548;454;746;1202;15J22;15H10;1262;15H07;15J10;1243;15J03;811;15H08,16040101;16040102;16040103
Mary's River,321;1203;15H19;454;746;1211;14H04,1604010104;1604010105
Lamoille Creek,15J08;570;15J04,1.60E+11
North Fork Humboldt River,549;1203;15H19;548;1262;15H07;811;15H08,16040102
South Fork Humboldt River,417;503;15J17;15J19;15J10,16040103
Lower Humboldt River Basin,337;498;17K02;1136;1208;16H11;1006;373;17K01;1206;16H03;1195;569,16040104;16040105;16040106;16040107;16040108;16040109
Rock Creek,1136;1206;16H03,16040106
Reese River,337;17K02;1006;17K01,16040107
Martin Creek,498;373;569,1604010905
Little Humboldt River,498;16H11;1208;373;1206;16H03;569,16040109
Humboldt River above Imlay,15J16;15J08;337;498;417;549;15H11;15J23;453;321;503;15J17;1203;15H19;17K02;570;1136;15J19;1208;16H11;1006;1211;14H04;15J04;548;454;746;1202;15J22;373;15H10;1262;15H07;17K01;1206;16H03;15J10;1195;1243;15J03;811;569;15H08,160401
Clover Valley & Franklin River Basin,15J16;15J08;417;453;503;527;1244;15J20;570,16060007
Clover Valley,15H11;453;527;1244;15J20,1606000716
Franklin River,15J16;15J08;417;453;503;1244;15J20;570,1606000711;1606000712
Snake River Basin,698;321;1203;15H19;359;1211;14H04;871;746;1207;15H20;610;15H05;336;15H25;14G08,17040213;17050102
Bruneau River,698;321;1203;15H19;871;746;1207;15H20;15H05;336,17050102
Jarbidge River,698;321;746,1705010203
Salmon Falls Creek,698;321;359;1211;14H04;871;610;15H25;14G08,17040213
Owyhee River Basin,549;1136;548;476;1207;15H20;16H01;15H05;336;15H07;1262;573;1204;16H06;17H06;811,17050104;17050105;17050106
Owyhee River above Owyhee,548;476;1207;15H20;15H05;336;1262;15H07;573;1204;16H06,1705010403;1705010402;1705010401
Owyhee River above Gold Creek,548;336;15H05;1262;15H07,1705010401
South Fork Owyhee River,549;1136;548;16H01;1204;16H06;811,1705010505;1705010504;1705010502;1705010501;1705010503
Eastern Nevada,1152;1147;14L03;14K09;1210;849;334;14L02;15L02;1209;337;443;14K07;1205;14L01;1137;1150;17K02;15K01;1155;1213;15L01;14K03,16060008;16060006;16060005;16060004;15010011;16060009;16060012
Kingston Creek,337;17K02,1.61E+11
Steptoe Valley,1152;849;1210;14K09;334;1150;15K01;1155;14K03,16060008
Baker & Lehman Creeks,1147;14L03;14L02;14L01,1602030108
Spring Mountains & Southern Nevada,1111;1112;1110,15010015
Spring Mountains,15N03;1111;1112;15N08;15N05;1110,15010015
White River,849;1210;14K09;1209;15L02;1213;15L01,15010011
Virgin River,626;561;1066;592;514;593;1065;583,15010010;15010008
Colorado R above Glen Canyon Dam,1185;762;485;531;335;713;797;1186;505;1188;874;513;1030;481;345;843;904;701;1160;1060;565;737;780;1141;1187;368;542;396;415;1120;632;825;566;547;970;717;842;1117;586;790;840;380;1101;629;465;905;622;682;1249;742;675;452;538;1192;1261;827;1216;556;589;680;572;869;521;833;643;618;1040;348;371;544;378;409;468;709;802;1163;1133;940;913;1143;669;444;543;1228;528;522;426;1269;739;1061;342;1138;688;714;779;1153;383;859;1014;387;1047;386;449;607;1162;1215;1149;1097;559;793;467;658;1227;353;864;1041;831;1116;457;661;461;597;554;1236;732;795;765;435;432;720;509;555;317,14
State of Nevada & Eastern Sierra,1152;1147;574;846;1052;587;1210;849;334;1111;771;652;462;1209;337;1112;518;1050;498;417;549;1067;541;698;633;340;1051;453;356;321;443;784;1049;503;1205;1110;527;615;1137;1203;508;1150;697;570;1244;1136;724;463;1194;1155;359;1213;1208;1006;1211;446;548;454;575;871;746;391;539;476;1207;373;610;428;809;336;1262;573;848;1204;1206;1195;1242;834;445;1243;540;473;811;778;569;1277,15010011;1606;1604;1605;160402;1705010505;1705010504;1705010502;1705010501;1705010503;1705010403;1705010402;1705010401;17040213;17050102;15010015;18080001
