BasinName,BasinSites,HUCS
Bear River,828;517;579;779;634;992;823;455;1098;554;484;1135;374;741;730;1114;1013;1115;471;761;493;677;582;1113,160101;160102
Weber Ogden Rivers,828;814;392;634;1225;455;330;1056;533;393;474;332;971;763;684;1145;896;1054;1118;333,160201
Provo Jordan Rivers,828;766;628;399;366;1225;330;596;820;686;435;1280;1039;400;684;1223;906;972,160202
Tooele Valley West Desert,1247;723;631;844;1214,160203
Northeastern Uintas,1117;790;1193;1192;521;833;1163;528;522;1162;559,140401
Duchesne River,513;481;368;396;566;828;643;543;1116;795;435;432;720,140600
Price San Rafael Rivers,742;1216;371;1228;714;399;1097;612;1227;864;1236,140600
Dirty Devil,1249;452;1261;475;691;348;371;444;1228;1269;1149,140700
Southeastern Utah,572;1153;383;1215;461,140300
Upper Sevier,983;364;626;1099;475;865;691;390;1278;557;1156;907;1149;694;1184;495;514;593,140500
San Pitch River,742;1222;1216;691;1224;371;1226;612;1221;1217;329,160300
Lower Sevier,1278;694;1146;1217,160300
Beaver River,339;557;621,160300
Escalante River,983;1249;452;865,140700
Southwestern Utah,1154;626;390;561;853;1197;1066;1248;592;514;593;1065;583,150100
State,907;992;329;330;332;333;1214;339;348;1162;1278;364;1154;366;368;371;1192;1153;374;1135;383;1039;390;392;393;396;983;399;400;1236;432;435;444;452;455;906;461;1163;471;474;1054;475;1149;481;484;1114;1066;1221;1222;1151;493;495;1184;1065;896;514;517;1193;521;522;1223;528;533;534;1216;543;1099;554;1145;557;559;1115;561;566;1116;513;572;1215;1056;579;582;583;1261;592;593;596;1118;972;612;621;626;628;631;634;643;1224;1269;1146;677;1148;684;971;686;691;694;714;1225;1217;720;723;730;1280;741;742;761;763;766;1117;779;1156;790;795;1249;1248;1247;1013;814;1226;1097;820;823;1113;828;833;1227;1098;844;853;864;865;1228;1197,
Raft River,1151;13H05;534;13G03;13G02;13H03,
Upper Bear,828;10J08;517;579;992;1135;10J06,
Middle Bear,779;554;374;730;471;761;493,
Lower Bear,741;471;677,
Logan River,634;823;455;1098;484;374;1114;11H07;1013;1115;582;1113;11H03,
Upper Weber,828;10J08;814;392;634;1225;11J06;330;1056;533;393;763;1145;1118,
Lower Weber,814;596;474;971;684;896;1054,
Ogden River,455;1056;533;332;333,
Lost Creek,634;1056;533;1145;1118,
Provo River,828;10J08;814;1225;330;820;435;1039,
Jordan River,766;814;628;11J61;366;11J58;596;1280;684;11J62;11J41;11J10;896;906;11J44;972;11J60;11J59,
Utah Lake,828;766;814;399;11J61;330;820;795;686;435;435;1280;1039;400;1223,
Spanish Fork River,399;795;686;435;1280;400;1223;11J22,
Six Creeks,766;814;628;11J61;366;11J58;596;684;11J62;11J41;11J10;896;11J44;972;11J60;11J59,
Cottonwood Creeks,766;814;628;11J61;366;11J58;11J10,
Tooele Valley,723;631;906;1214;12J02,
Deep Creek,1247,
Northwestern Utah,1247;1151;13H05;631;844,
Blacks Fork River,513;790;1193;1192;521;1163;10J21;1162;10J22,
Upper Green,1117;1192;1193;528;522,
Lower Green,543;1097;461;1236,
Ashley Brush Creeks,396;833;643;559,
Strawberry River,543;864;795;435;432,
Lakefork Yellowstone Rivers,513;481;368;566;828;10J08;1116;720,
Uinta Whiterocks River,396;643,
Price River,543;399;1097;612;864;1236;11K25,
San Rafael,742;1222;1216;11K29;371;1228;11K10;714;612;1227;11K32;11K05,
Muddy Creek,691;371;444;1228;11K32,
Fremont River,1249;452;475;348;11L03;1149,
Henry Mountains,1261;1269,
Lasal Mountains,572;1215;09L01,
Lower San Juan,1153;09M01;383,
Upper Sevier,339;1154;626;1099;390;853;1148;514;593,
Middle Sevier,339;364;475;691;1278;444;557;694;1184;11L02;495,
East Fork Sevier River,983;364;1099;865;1156;907;11L03;1149;12M08,
Upper San Pitch,1216;11K05;714;612;1217,
Lower San Pitch,742;1222;11K10;691;1224;11K12;371;444;1226;11K35;1221;11K11;329,
Lower Sevier,1278;694;1146;844;1217,
Beaver River,339;557;621,
Escalante River,983;1249;452;865,
Paria River,865;907;12M08,
Upper Virgin,626;561;1066;592;514;593;1065;583,
Lower Virgin,1065;583,
Coal Parowan Creeks,1154;626;390;561;853;1197;1248;12M17,
Western and Dixie,2167;2128;2165;2160;2164;2153;2159;2163,
North Central,2135;2136;2152,
South Central,2161;2125;2126;2127;2156;2129;2137;2157;2158;2162,
Northern Mountains,2151;2150;2133,
Uinta Basin,2155;2134;2154,
Southeast,2138;2130;2131;2166;2140;2132;2139,
State SCAN,2138;2135;2151;2136;2161;2150;2125;2167;2130;2128;2126;2165;2152;2131;2160;2164;2166;2127;2155;2156;2140;2129;2133;2134;2137;2157;2153;2132;2159;2154;2158;2163;2162;2139,
